Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,8567.1,102805.2,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.8,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1789.8,21477.6,USD,,"Data transfer out to internet (20 TB per month), Data transfer out to origin (10 GB per month), Number of requests (HTTPS) (100000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,,
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,349.6,4195.2,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m4.large), Pricing strategy (On-Demand Utilization: 24 Hours/Day), Enable monitoring (enabled), EBS Storage amount (50 GB), DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1809.6,21715.2,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m4.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (50 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2525.85,30310.2,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (24 Hours/Day), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (10 GB), Total Size of Backup Processed for Export (GB) (10 per month), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (2.19)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,308.43,3701.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1054.65,12655.8,USD,,"Number of Metrics (includes detailed and custom metrics) (4), Standard Logs: Data Ingested (100 GB), Number of Custom/Cross-account events (1000000000), Number of Dashboards (4)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
